iter	Passed	Remaining
647	1485	807
648	1487	804
649	1489	802
650	1491	799
651	1494	797
652	1496	795
653	1498	793
654	1500	790
655	1502	788
656	1504	785
657	1506	783
658	1509	781
659	1511	778
660	1513	776
661	1517	774
662	1520	772
663	1521	770
664	1524	768
665	1527	765
666	1529	763
667	1530	760
668	1531	757
669	1533	755
670	1535	752
671	1536	749
672	1538	747
673	1540	745
674	1542	742
675	1543	739
676	1545	737
677	1547	734
678	1548	732
679	1549	729
680	1551	726
681	1553	724
682	1555	722
683	1557	719
684	1559	716
685	1560	714
686	1562	711
687	1564	709
688	1566	706
689	1569	705
690	1571	702
691	1572	700
692	1574	697
693	1575	694
694	1577	692
695	1578	689
696	1580	687
697	1582	684
698	1584	682
699	1586	679
700	1587	677
701	1589	674
702	1591	672
703	1592	669
704	1593	666
705	1595	664
706	1596	661
707	1599	659
708	1600	657
709	1602	654
710	1603	651
711	1605	649
712	1607	646
713	1608	644
714	1610	641
715	1611	639
716	1613	636
717	1615	634
718	1617	632
719	1618	629
720	1620	626
721	1621	624
722	1623	621
723	1624	619
724	1626	616
725	1627	614
726	1630	612
727	1631	609
728	1633	607
729	1634	604
730	1636	602
731	1637	599
732	1639	597
733	1640	594
734	1642	592
735	1645	590
736	1647	587
737	1649	585
738	1650	583
739	1652	580
740	1653	578
741	1655	575
742	1656	573
743	1658	570
744	1660	568
745	1662	566
746	1664	563
747	1666	561
748	1668	558
749	1669	556
750	1671	554
751	1674	552
752	1676	550
753	1678	547
754	1679	545
755	1681	542
756	1682	540
757	1684	537
758	1685	535
759	1687	532
760	1690	530
761	1691	528
762	1693	525
763	1694	523
764	1696	521
765	1697	518
766	1699	516
767	1700	513
768	1702	511
769	1705	509
770	1706	506
771	1708	504
772	1709	502
773	1711	499
774	1712	497
775	1714	494
776	1715	492
777	1717	489
778	1719	487
779	1721	485
780	1722	483
781	1724	480
782	1725	478
783	1727	475
784	1728	473
785	1730	471
786	1732	468
787	1734	466
788	1736	464
789	1737	461
790	1739	459
791	1740	457
792	1742	454
793	1743	452
794	1745	450
795	1747	447
796	1748	445
797	1751	443
798	1752	440
799	1754	438
800	1756	436
801	1758	434
802	1759	431
803	1761	429
804	1763	427
805	1766	425
806	1767	422
807	1769	420
808	1770	418
809	1772	415
810	1774	413
811	1775	411
812	1777	408
813	1779	406
814	1781	404
815	1782	401
816	1784	399
817	1785	397
818	1787	394
819	1788	392
820	1790	390
821	1791	388
822	1794	385
823	1796	383
824	1797	381
825	1799	378
826	1800	376
827	1802	374
828	1804	372
829	1805	369
830	1807	367
831	1810	365
832	1812	363
833	1814	361
834	1815	358
835	1817	356
836	1818	354
837	1820	351
838	1822	349
839	1823	347
840	1826	345
841	1827	342
842	1829	340
843	1830	338
844	1832	336
845	1833	333
846	1835	331
847	1837	329
848	1839	327
849	1841	325
850	1843	322
851	1845	320
852	1847	318
853	1848	316
854	1850	313
855	1852	311
856	1856	309
857	1858	307
858	1859	305
859	1861	303
860	1862	300
861	1864	298
862	1865	296
863	1867	293
864	1869	291
865	1871	289
866	1873	287
867	1874	285
868	1876	282
869	1878	280
870	1880	278
871	1881	276
872	1883	273
873	1887	272
874	1889	269
875	1891	267
876	1892	265
877	1894	263
878	1895	260
879	1897	258
880	1899	256
881	1901	254
882	1903	252
883	1905	249
884	1906	247
885	1908	245
886	1909	243
887	1911	241
888	1912	238
889	1914	236
890	1916	234
891	1918	232
892	1920	230
893	1922	227
894	1923	225
895	1925	223
896	1927	221
897	1929	219
898	1932	217
899	1934	214
900	1936	212
901	1937	210
902	1939	208
903	1941	206
904	1942	203
905	1945	201
906	1947	199
907	1949	197
908	1950	195
909	1952	193
910	1953	190
911	1955	188
912	1956	186
913	1958	184
914	1960	182
915	1962	179
916	1963	177
917	1965	175
918	1966	173
919	1968	171
920	1969	168
921	1971	166
922	1972	164
923	1975	162
924	1977	160
925	1978	158
926	1980	155
927	1981	153
928	1983	151
929	1984	149
930	1986	147
931	1987	145
932	1990	142
933	1992	140
934	1993	138
935	1995	136
936	1996	134
937	1998	132
938	1999	129
939	2001	127
940	2002	125
941	2004	123
942	2006	121
943	2008	119
944	2009	116
945	2011	114
946	2012	112
947	2014	110
948	2016	108
949	2018	106
950	2020	104
951	2022	101
